Year,Category,Nominee,Additional Info,Won?
2010,Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},NO
2010,Actor -- Leading Role,Jeff Bridges,True Grit {'Rooster Cogburn'},NO
2010,Actor -- Leading Role,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},NO
2010,Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},YES
2010,Actor -- Leading Role,James Franco,127 Hours {'Aron Ralston'},NO
2010,Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},YES
2010,Actor -- Supporting Role,John Hawkes,Winter's Bone {'Teardrop'},NO
2010,Actor -- Supporting Role,Jeremy Renner,The Town {'James Coughlin'},NO
2010,Actor -- Supporting Role,Mark Ruffalo,The Kids Are All Right {'Paul'},NO
2010,Actor -- Supporting Role,Geoffrey Rush,The King's Speech {'Lionel Logue'},NO
2010,Actress -- Leading Role,Annette Bening,The Kids Are All Right {'Nic'},NO
2010,Actress -- Leading Role,Nicole Kidman,Rabbit Hole {'Becca'},NO
2010,Actress -- Leading Role,Jennifer Lawrence,Winter's Bone {'Ree'},NO
2010,Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES
2010,Actress -- Leading Role,Michelle Williams,Blue Valentine {'Cindy'},NO
2010,Actress -- Supporting Role,Amy Adams,The Fighter {'Charlene Fleming'},NO
2010,Actress -- Supporting Role,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},NO
2010,Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},YES
2010,Actress -- Supporting Role,Hailee Steinfeld,True Grit {'Mattie Ross'},NO
2010,Actress -- Supporting Role,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},NO
2010,Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois,NO
2010,Animated Feature Film,The Illusionist,Sylvain Chomet,NO
2010,Animated Feature Film,Toy Story 3,Lee Unkrich,YES
2010,Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,YES
2010,Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,NO
2010,Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,NO
2010,Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr,NO
2010,Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,NO
2010,Cinematography,Black Swan,Matthew Libatique,NO
